kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_depth_missing,koi_prad_missing,koi_srad_missing,koi_steff_missing,koi_slogg_missing
K06402.01,FALSE POSITIVE,1.1611022,2.48,70.8,1.08,5780.0,4.438,1.0,15.742,1,1,1,1,1
K06403.01,FALSE POSITIVE,0.792023257,3.2604,176.6,0.81,4447.0,4.632,0.625,14.498,0,0,0,0,0
K06404.01,FALSE POSITIVE,10.643743766,6.29783,436510.0,47.87,5282.0,4.578,0.694,14.343,0,0,0,0,0
K06405.01,FALSE POSITIVE,1.7317958,2.924,60.6,1.19,5691.0,4.095,1.508,15.019,0,0,0,0,0
K06406.01,FALSE POSITIVE,8.65298599,1.549,313.8,1.36,5210.0,4.538,0.749,15.415,0,0,0,0,0
K06407.01,FALSE POSITIVE,1.19563447,5.3934,8245.0,14.94,5583.0,4.115,1.413,14.327,0,0,0,0,0
K06408.01,FALSE POSITIVE,0.550537628,1.216,72.0,1.93,8098.0,4.013,2.199,11.456,0,0,0,0,0
K06409.01,CANDIDATE,19.9310602,8.48,97.9,2.42,5500.0,3.775,2.491,13.37,0,0,0,0,0
K06410.01,FALSE POSITIVE,2.53470797,20.143,328.2,50.25,6440.0,3.874,2.254,13.92,0,0,0,0,0
K06527.01,FALSE POSITIVE,0.530799654,3.487,318.5,2.92,6534.0,4.128,1.622,12.328,0,0,0,0,0
K06528.01,FALSE POSITIVE,0.56818769,2.0,70.8,1.08,5780.0,4.438,1.0,11.941,1,1,1,1,1
K06529.01,FALSE POSITIVE,1.0094779,3.72,70.8,1.08,5780.0,4.438,1.0,13.965,1,1,1,1,1
K06530.01,FALSE POSITIVE,0.91057795,2.73,70.8,1.08,5780.0,4.438,1.0,11.965,1,1,1,1,1
K06531.01,FALSE POSITIVE,1.0429419,7.22,412.0,2.49,5780.0,4.438,1.0,11.51,0,0,0,0,0
K06532.01,CANDIDATE,0.813998812,0.675,183.4,1.36,5705.0,4.424,0.989,15.567,0,0,0,0,0
K06533.01,FALSE POSITIVE,6.12650913,15.43,2434.0,9.08,6881.0,4.252,1.534,12.625,0,0,0,0,0
K06534.01,FALSE POSITIVE,0.720589427,4.329,70.0,1.95,8497.0,4.07,2.211,12.051,0,0,0,0,0
K06661.01,FALSE POSITIVE,0.573036404,1.3176,4174.5,9.97,5745.0,4.29,1.196,13.302,0,0,0,0,0
K06662.01,FALSE POSITIVE,0.643171495,2.31285,41160.0,54.03,5899.0,4.387,0.989,15.147,0,0,0,0,0
K06663.01,FALSE POSITIVE,14.086776961,10.1279,106840.0,65.6,7138.0,4.062,1.89,12.271,0,0,0,0,0
K06664.01,CANDIDATE,14.7639145,3.14,162.5,0.93,5541.0,4.613,0.733,15.559,0,0,0,0,0
K06665.01,FALSE POSITIVE,1.872620976,1.7626,1530.6,31.43,6031.0,4.427,1.004,14.337,0,0,0,0,0
K06666.01,CANDIDATE,1.118510435,1.111,72.7,0.75,5918.0,4.544,0.865,14.796,0,0,0,0,0
K06667.01,FALSE POSITIVE,17.527826808,5.78491,347520.0,49.36,5079.0,4.579,0.732,12.534,0,0,0,0,0
K06668.01,FALSE POSITIVE,27.467217305,4.17961,71766.0,38.87,5503.0,4.536,0.742,13.182,0,0,0,0,0
K06796.01,FALSE POSITIVE,40.879068,6.562,499.2,3.35,6072.0,4.51,0.923,15.823,0,0,0,0,0
K06797.01,FALSE POSITIVE,0.566802325,1.842,288.4,1.4,5233.0,4.489,0.824,14.905,0,0,0,0,0
K06798.01,CANDIDATE,2.64185268,1.76,149.8,3.56,5195.0,3.409,2.935,13.533,0,0,0,0,0
K06799.01,FALSE POSITIVE,0.634946497,2.40541,426550.0,52.75,4446.0,4.567,0.737,14.791,0,0,0,0,0
K06800.01,FALSE POSITIVE,5.077746556,3.1718,18837.0,54.93,6174.0,4.235,1.271,12.847,0,0,0,0,0
K06801.01,FALSE POSITIVE,2.00383703,3.473,42.3,0.67,6045.0,4.439,1.028,14.467,0,0,0,0,0
K06802.01,FALSE POSITIVE,5.321224925,7.48973,98872.0,40.62,5787.0,4.544,0.758,15.013,0,0,0,0,0
K06803.01,FALSE POSITIVE,2.340534383,4.43017,241360.0,69.55,6300.0,4.349,1.136,14.39,0,0,0,0,0
K06926.01,FALSE POSITIVE,0.580724809,1.82,64.2,0.75,5989.0,4.492,0.933,14.569,0,0,0,0,0
